"AREA","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","EVENT_TYPE","POPULATION","RACE","SEX","SITE","YEAR"
"Louisiana",132.6,149.1,140.7,1209,"Incidence",786387,"Non-Hispanic Black","Female","Female Breast","2022"
"Louisiana",28.7,36.7,32.5,281,"Incidence",786387,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Louisiana",128,139.2,133.5,2475,"Incidence",1340239,"Non-Hispanic White","Female","Female Breast","2022"
"Louisiana",25.8,31.2,28.4,504,"Incidence",1340239,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Maine",127,142.3,134.4,1427,"Incidence",704759,"All Races","Female","Female Breast","2022"
"Maine",27.2,34.8,30.8,313,"Incidence",704759,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Maine",NA,NA,NA,NA,"Incidence",14664,"Hispanic of any race","Female","Female Breast","2022"
"Maine",NA,NA,NA,NA,"Incidence",14664,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Maine",NA,NA,NA,NA,"Incidence",5360,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Maine",NA,NA,NA,NA,"Incidence",5360,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Maine",NA,NA,NA,NA,"Incidence",11605,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Maine",NA,NA,NA,NA,"Incidence",11605,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Maine",NA,NA,NA,NA,"Incidence",14218,"Non-Hispanic Black","Female","Female Breast","2022"
"Maine",NA,NA,NA,NA,"Incidence",14218,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Maine",128.3,144.1,136,1390,"Incidence",658912,"Non-Hispanic White","Female","Female Breast","2022"
"Maine",27.2,35,30.9,303,"Incidence",658912,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Maryland",140.8,148.6,144.6,5778,"Incidence",3166110,"All Races","Female","Female Breast","2022"
"Maryland",33,36.9,34.9,1378,"Incidence",3166110,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Maryland",71.3,93.7,81.9,233,"Incidence",367718,"Hispanic of any race","Female","Female Breast","2022"
"Maryland",18.6,30.5,24,72,"Incidence",367718,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Maryland",NA,NA,NA,NA,"Incidence",9368,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Maryland",NA,NA,NA,NA,"Incidence",9368,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Maryland",111.7,138.9,124.7,340,"Incidence",235285,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Maryland",28.1,42.5,34.7,97,"Incidence",235285,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Maryland",141.5,155.6,148.4,1834,"Incidence",1022682,"Non-Hispanic Black","Female","Female Breast","2022"
"Maryland",34.1,41.2,37.5,465,"Incidence",1022682,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Maryland",146.6,157.7,152.1,3335,"Incidence",1531057,"Non-Hispanic White","Female","Female Breast","2022"
"Maryland",32.2,37.8,34.9,734,"Incidence",1531057,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Massachusetts",131,138.1,134.5,6163,"Incidence",3570980,"All Races","Female","Female Breast","2022"
"Massachusetts",34.9,38.7,36.8,1650,"Incidence",3570980,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Massachusetts",94.7,116.4,105.2,393,"Incidence",462861,"Hispanic of any race","Female","Female Breast","2022"
"Massachusetts",27.3,39.4,33,125,"Incidence",462861,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Massachusetts",NA,NA,NA,NA,"Incidence",8021,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Massachusetts",NA,NA,NA,NA,"Incidence",8021,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Massachusetts",85.7,109.3,96.9,274,"Incidence",286235,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Massachusetts",31.2,46.2,38.1,107,"Incidence",286235,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Massachusetts",100.6,125.6,112.6,334,"Incidence",289532,"Non-Hispanic Black","Female","Female Breast","2022"
"Massachusetts",33.7,49,40.8,119,"Incidence",289532,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Massachusetts",136.8,145.3,141,5087,"Incidence",2524331,"Non-Hispanic White","Female","Female Breast","2022"
"Massachusetts",34,38.3,36.1,1272,"Incidence",2524331,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Michigan",131.1,137,134,8866,"Incidence",5061136,"All Races","Female","Female Breast","2022"
"Michigan",32.5,35.5,34,2203,"Incidence",5061136,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Michigan",91.8,121.3,105.8,217,"Incidence",288533,"Hispanic of any race","Female","Female Breast","2022"
"Michigan",19,33.6,25.6,53,"Incidence",288533,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Michigan",72.4,138.4,101.3,44,"Incidence",36404,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Michigan",NA,NA,NA,NA,"Incidence",36404,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Michigan",82.7,111.8,96.4,179,"Incidence",188925,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Michigan",25.7,43.1,33.5,62,"Incidence",188925,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Michigan",121.3,137.1,129,1105,"Incidence",769517,"Non-Hispanic Black","Female","Female Breast","2022"
"Michigan",33.1,41.6,37.1,323,"Incidence",769517,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Michigan",132.8,139.6,136.2,7247,"Incidence",3777757,"Non-Hispanic White","Female","Female Breast","2022"
"Michigan",32.1,35.6,33.8,1735,"Incidence",3777757,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Minnesota",141,149.3,145.1,5104,"Incidence",2850126,"All Races","Female","Female Breast","2022"
"Minnesota",30,34,31.9,1084,"Incidence",2850126,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Minnesota",116,169,140.8,139,"Incidence",172917,"Hispanic of any race","Female","Female Breast","2022"
"Minnesota",12.3,29.5,19.5,24,"Incidence",172917,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Minnesota",99.7,189.1,139.3,43,"Incidence",34484,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Minnesota",NA,NA,NA,NA,"Incidence",34484,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Minnesota",73.7,107.4,89.4,119,"Incidence",166104,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Minnesota",21.1,40.4,29.6,41,"Incidence",166104,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Minnesota",98.8,136.2,116.5,172,"Incidence",228331,"Non-Hispanic Black","Female","Female Breast","2022"
"Minnesota",21.7,40.6,30.1,45,"Incidence",228331,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Minnesota",145,154.2,149.5,4613,"Incidence",2248290,"Non-Hispanic White","Female","Female Breast","2022"
"Minnesota",30.4,34.8,32.5,961,"Incidence",2248290,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Mississippi",119.5,130,124.7,2376,"Incidence",1512732,"All Races","Female","Female Breast","2022"
"Mississippi",24.7,29.6,27.1,513,"Incidence",1512732,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Mississippi",NA,NA,NA,NA,"Incidence",50000,"Hispanic of any race","Female","Female Breast","2022"
"Mississippi",NA,NA,NA,NA,"Incidence",50000,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Mississippi",NA,NA,NA,NA,"Incidence",8133,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Mississippi",NA,NA,NA,NA,"Incidence",8133,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Mississippi",44.2,128.6,78.2,16,"Incidence",19663,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Mississippi",NA,NA,NA,NA,"Incidence",19663,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Mississippi",117.4,135.5,126.2,817,"Incidence",592088,"Non-Hispanic Black","Female","Female Breast","2022"
"Mississippi",26.6,35.5,30.8,208,"Incidence",592088,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Mississippi",120,133.7,126.7,1518,"Incidence",842848,"Non-Hispanic White","Female","Female Breast","2022"
"Mississippi",22.3,28.6,25.3,292,"Incidence",842848,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Missouri",134.8,142.5,138.6,5538,"Incidence",3127634,"All Races","Female","Female Breast","2022"
"Missouri",26.5,30,28.2,1134,"Incidence",3127634,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Missouri",59.1,93.5,74.9,82,"Incidence",155586,"Hispanic of any race","Female","Female Breast","2022"
"Missouri",7.8,22.7,13.9,16,"Incidence",155586,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Missouri",NA,NA,NA,NA,"Incidence",17294,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Missouri",NA,NA,NA,NA,"Incidence",17294,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Missouri",105.7,157,129.4,106,"Incidence",83972,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Missouri",16.8,40.3,26.6,23,"Incidence",83972,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Missouri",112.8,135,123.5,513,"Incidence",396628,"Non-Hispanic Black","Female","Female Breast","2022"
"Missouri",23,33.6,27.9,117,"Incidence",396628,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Missouri",138.3,146.9,142.6,4808,"Incidence",2474154,"Non-Hispanic White","Female","Female Breast","2022"
"Missouri",26.9,30.8,28.8,972,"Incidence",2474154,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Montana",129.6,148.2,138.7,994,"Incidence",554057,"All Races","Female","Female Breast","2022"
"Montana",21.1,28.9,24.7,185,"Incidence",554057,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Montana",NA,NA,NA,NA,"Incidence",24964,"Hispanic of any race","Female","Female Breast","2022"
"Montana",NA,NA,NA,NA,"Incidence",24964,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Montana",121.8,218.2,165,52,"Incidence",36005,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Montana",NA,NA,NA,NA,"Incidence",36005,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Montana",135.5,360.3,226.8,19,"Incidence",7965,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Montana",NA,NA,NA,NA,"Incidence",7965,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Montana",NA,NA,NA,NA,"Incidence",4500,"Non-Hispanic Black","Female","Female Breast","2022"
"Montana",NA,NA,NA,NA,"Incidence",4500,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Montana",127.9,147.5,137.4,904,"Incidence",480623,"Non-Hispanic White","Female","Female Breast","2022"
"Montana",21.9,30.5,25.9,174,"Incidence",480623,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Nebraska",118.4,131.9,125,1455,"Incidence",978931,"All Races","Female","Female Breast","2022"
"Nebraska",26,32.7,29.2,332,"Incidence",978931,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Nebraska",74.7,123.6,97,73,"Incidence",118605,"Hispanic of any race","Female","Female Breast","2022"
"Nebraska",NA,NA,NA,NA,"Incidence",118605,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Nebraska",NA,NA,NA,NA,"Incidence",9077,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Nebraska",NA,NA,NA,NA,"Incidence",9077,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Nebraska",47.7,126.3,80.4,19,"Incidence",29957,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Nebraska",NA,NA,NA,NA,"Incidence",29957,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Nebraska",73.2,137.8,102,43,"Incidence",54823,"Non-Hispanic Black","Female","Female Breast","2022"
"Nebraska",26.4,69.2,44.2,19,"Incidence",54823,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Nebraska",119.6,134.5,126.9,1283,"Incidence",766469,"Non-Hispanic White","Female","Female Breast","2022"
"Nebraska",25.8,33.2,29.3,281,"Incidence",766469,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Nevada",108.9,118.7,113.7,2215,"Incidence",1577958,"All Races","Female","Female Breast","2022"
"Nevada",18.4,22.7,20.5,397,"Incidence",1577958,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Nevada",81.7,102.3,91.6,336,"Incidence",462006,"Hispanic of any race","Female","Female Breast","2022"
"Nevada",11,18.9,14.6,57,"Incidence",462006,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Nevada",52.1,144.1,88.8,19,"Incidence",15953,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Nevada",NA,NA,NA,NA,"Incidence",15953,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Nevada",99.6,127.7,112.9,278,"Incidence",180910,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Nevada",20.1,33.6,26.1,68,"Incidence",180910,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Nevada",107.7,142.3,124.1,215,"Incidence",174744,"Non-Hispanic Black","Female","Female Breast","2022"
"Nevada",17.3,33.1,24.3,41,"Incidence",174744,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Nevada",110.4,124.1,117,1341,"Incidence",744345,"Non-Hispanic White","Female","Female Breast","2022"
"Nevada",17.5,23.5,20.3,223,"Incidence",744345,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"New Hampshire",136,152.4,144,1404,"Incidence",700765,"All Races","Female","Female Breast","2022"
"New Hampshire",28.1,36.1,31.9,293,"Incidence",700765,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"New Hampshire",59.5,150.5,97.9,22,"Incidence",31574,"Hispanic of any race","Female","Female Breast","2022"
"New Hampshire",NA,NA,NA,NA,"Incidence",31574,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"New Hampshire",NA,NA,NA,NA,"Incidence",1858,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"New Hampshire",NA,NA,NA,NA,"Incidence",1858,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"New Hampshire",90.5,195.7,135.7,31,"Incidence",24029,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"New Hampshire",NA,NA,NA,NA,"Incidence",24029,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"New Hampshire",NA,NA,NA,NA,"Incidence",12159,"Non-Hispanic Black","Female","Female Breast","2022"
"New Hampshire",NA,NA,NA,NA,"Incidence",12159,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"New Hampshire",136.4,153.5,144.7,1328,"Incidence",631145,"Non-Hispanic White","Female","Female Breast","2022"
"New Hampshire",28.9,37.6,33,280,"Incidence",631145,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"New Jersey",140.5,146.8,143.6,8644,"Incidence",4704672,"All Races","Female","Female Breast","2022"
"New Jersey",41.7,45.3,43.5,2485,"Incidence",4704672,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"New Jersey",103,116.4,109.5,1079,"Incidence",1028459,"Hispanic of any race","Female","Female Breast","2022"
"New Jersey",26.8,33.8,30.1,297,"Incidence",1028459,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"New Jersey",NA,NA,NA,NA,"Incidence",9444,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"New Jersey",NA,NA,NA,NA,"Incidence",9444,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"New Jersey",118.3,137.2,127.5,731,"Incidence",500828,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"New Jersey",37.7,48.6,42.9,249,"Incidence",500828,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"New Jersey",124.6,141.5,132.8,1021,"Incidence",658083,"Non-Hispanic Black","Female","Female Breast","2022"
"New Jersey",31.5,40.3,35.7,277,"Incidence",658083,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"New Jersey",150.8,159.7,155.2,5718,"Incidence",2507858,"Non-Hispanic White","Female","Female Breast","2022"
"New Jersey",47.2,52.5,49.8,1628,"Incidence",2507858,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"New Mexico",108.7,120.7,114.6,1613,"Incidence",1062932,"All Races","Female","Female Breast","2022"
"New Mexico",18.3,23.6,20.8,285,"Incidence",1062932,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"New Mexico",108.6,127.6,117.8,624,"Incidence",513080,"Hispanic of any race","Female","Female Breast","2022"
"New Mexico",13.5,20.8,16.9,92,"Incidence",513080,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"New Mexico",43.8,73.2,57.1,66,"Incidence",102509,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"New Mexico",NA,NA,NA,NA,"Incidence",102509,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"New Mexico",45.1,114.6,73.2,21,"Incidence",22516,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"New Mexico",NA,NA,NA,NA,"Incidence",22516,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"New Mexico",55,146.1,92.9,19,"Incidence",22868,"Non-Hispanic Black","Female","Female Breast","2022"
"New Mexico",NA,NA,NA,NA,"Incidence",22868,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"New Mexico",109,127.8,118,839,"Incidence",401959,"Non-Hispanic White","Female","Female Breast","2022"
"New Mexico",18.1,26.6,22,149,"Incidence",401959,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"New York",138.6,142.9,140.8,17910,"Incidence",10067688,"All Races","Female","Female Breast","2022"
"New York",46.9,49.5,48.2,5872,"Incidence",10067688,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"New York",105.1,114.4,109.7,2195,"Incidence",1961945,"Hispanic of any race","Female","Female Breast","2022"
"New York",38.6,44.3,41.4,830,"Incidence",1961945,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"New York",NA,NA,NA,NA,"Incidence",37487,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"New York",NA,NA,NA,NA,"Incidence",37487,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"New York",119.6,132.9,126.2,1450,"Incidence",997433,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"New York",48.8,57.5,53,602,"Incidence",997433,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"New York",130.6,141.6,136,2564,"Incidence",1575111,"Non-Hispanic Black","Female","Female Breast","2022"
"New York",46.4,53.1,49.6,938,"Incidence",1575111,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"New York",146.5,152.5,149.5,11454,"Incidence",5495712,"Non-Hispanic White","Female","Female Breast","2022"
"New York",46.1,49.6,47.8,3377,"Incidence",5495712,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"North Carolina",138,143.8,140.9,9719,"Incidence",5466317,"All Races","Female","Female Breast","2022"
"North Carolina",33,35.9,34.4,2374,"Incidence",5466317,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"North Carolina",90.6,113.7,101.7,370,"Incidence",581670,"Hispanic of any race","Female","Female Breast","2022"
"North Carolina",20.5,31,25.4,104,"Incidence",581670,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"North Carolina",105,161.3,130.8,93,"Incidence",61319,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"North Carolina",NA,NA,NA,NA,"Incidence",61319,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"North Carolina",91.7,122.4,106.2,202,"Incidence",202116,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"North Carolina",19.3,34.5,26.1,51,"Incidence",202116,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"North Carolina",135.5,148.4,141.8,2020,"Incidence",1241486,"Non-Hispanic Black","Female","Female Breast","2022"
"North Carolina",35.9,42.6,39.1,571,"Incidence",1241486,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"North Carolina",140.7,148,144.3,6969,"Incidence",3379726,"Non-Hispanic White","Female","Female Breast","2022"
"North Carolina",32.5,36.1,34.2,1624,"Incidence",3379726,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"North Dakota",113.9,136.3,124.7,541,"Incidence",379240,"All Races","Female","Female Breast","2022"
"North Dakota",20.5,30.5,25.1,114,"Incidence",379240,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"North Dakota",NA,NA,NA,NA,"Incidence",16633,"Hispanic of any race","Female","Female Breast","2022"
"North Dakota",NA,NA,NA,NA,"Incidence",16633,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"North Dakota",NA,NA,NA,NA,"Incidence",20345,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"North Dakota",NA,NA,NA,NA,"Incidence",20345,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"North Dakota",NA,NA,NA,NA,"Incidence",7383,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"North Dakota",NA,NA,NA,NA,"Incidence",7383,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"North Dakota",NA,NA,NA,NA,"Incidence",13625,"Non-Hispanic Black","Female","Female Breast","2022"
"North Dakota",NA,NA,NA,NA,"Incidence",13625,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"North Dakota",118.5,142.9,130.2,515,"Incidence",321254,"Non-Hispanic White","Female","Female Breast","2022"
"North Dakota",20.3,30.9,25.1,105,"Incidence",321254,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Ohio",130.4,135.9,133.1,10189,"Incidence",5960017,"All Races","Female","Female Breast","2022"
"Ohio",25.7,28.2,26.9,2050,"Incidence",5960017,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Ohio",63.6,89.5,75.8,143,"Incidence",270170,"Hispanic of any race","Female","Female Breast","2022"
"Ohio",9.5,20.9,14.5,28,"Incidence",270170,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Ohio",54,153.9,94.1,18,"Incidence",15802,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Ohio",NA,NA,NA,NA,"Incidence",15802,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Ohio",91.1,123.3,106.3,178,"Incidence",176730,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Ohio",20.6,37.2,28,48,"Incidence",176730,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Ohio",121.3,136.9,128.9,1122,"Incidence",846954,"Non-Hispanic Black","Female","Female Breast","2022"
"Ohio",27.5,35.1,31.1,281,"Incidence",846954,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Ohio",132.3,138.4,135.3,8669,"Incidence",4650361,"Non-Hispanic White","Female","Female Breast","2022"
"Ohio",25.1,27.9,26.5,1668,"Incidence",4650361,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Oklahoma",130.6,140.2,135.3,3287,"Incidence",2018971,"All Races","Female","Female Breast","2022"
"Oklahoma",21,25.1,23,551,"Incidence",2018971,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Oklahoma",98.5,136.7,116.5,170,"Incidence",242883,"Hispanic of any race","Female","Female Breast","2022"
"Oklahoma",16.9,34.1,24.4,37,"Incidence",242883,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Oklahoma",140,177.6,158,294,"Incidence",192163,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Oklahoma",17,32,23.7,43,"Incidence",192163,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Oklahoma",79.2,136.9,105.2,59,"Incidence",61086,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Oklahoma",21.4,55.9,35.7,20,"Incidence",61086,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Oklahoma",126.4,165.7,145.1,230,"Incidence",173513,"Non-Hispanic Black","Female","Female Breast","2022"
"Oklahoma",21.7,39.3,29.5,50,"Incidence",173513,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Oklahoma",128.3,139.4,133.8,2522,"Incidence",1349326,"Non-Hispanic White","Female","Female Breast","2022"
"Oklahoma",19.3,23.9,21.5,397,"Incidence",1349326,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Oregon",120.6,129.3,124.8,3505,"Incidence",2126890,"All Races","Female","Female Breast","2022"
"Oregon",26.4,30.7,28.5,755,"Incidence",2126890,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Oregon",86.7,117,101,201,"Incidence",298729,"Hispanic of any race","Female","Female Breast","2022"
"Oregon",19,33.3,25.4,56,"Incidence",298729,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Oregon",74.5,151.9,108,37,"Incidence",28850,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Oregon",NA,NA,NA,NA,"Incidence",28850,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Oregon",77.5,110.4,92.8,133,"Incidence",133166,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Oregon",16.7,33.3,23.9,36,"Incidence",133166,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Oregon",64.2,124.8,90.9,39,"Incidence",52792,"Non-Hispanic Black","Female","Female Breast","2022"
"Oregon",NA,NA,NA,NA,"Incidence",52792,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
