"AREA","AGE_ADJUSTED_CI_LOWER","AGE_ADJUSTED_CI_UPPER","AGE_ADJUSTED_RATE","COUNT","EVENT_TYPE","POPULATION","RACE","SEX","SITE","YEAR"
"Arkansas",112.7,141.4,126.5,331,"Incidence",253639,"Non-Hispanic Black","Female","Female Breast","2022"
"Arkansas",19.7,32.7,25.6,68,"Incidence",253639,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Arkansas",116.4,128.2,122.2,1907,"Incidence",1108688,"Non-Hispanic White","Female","Female Breast","2022"
"Arkansas",24.2,29.9,26.9,396,"Incidence",1108688,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"California",124.4,127.4,125.9,29350,"Incidence",19544120,"All Races","Female","Female Breast","2022"
"California",28.2,29.6,28.9,6653,"Incidence",19544120,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"California",100.2,105,102.6,7064,"Incidence",7777798,"Hispanic of any race","Female","Female Breast","2022"
"California",19.1,21.2,20.1,1419,"Incidence",7777798,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"California",126.9,172.5,148.3,189,"Incidence",102801,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"California",22.6,44.4,32.1,41,"Incidence",102801,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"California",117.5,124.2,120.8,5136,"Incidence",3402008,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"California",35.4,39.2,37.3,1580,"Incidence",3402008,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"California",123.1,135.4,129.2,1824,"Incidence",1214871,"Non-Hispanic Black","Female","Female Breast","2022"
"California",28.5,34.5,31.4,462,"Incidence",1214871,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"California",135.8,140.7,138.2,14719,"Incidence",7046642,"Non-Hispanic White","Female","Female Breast","2022"
"California",29.6,32,30.8,3030,"Incidence",7046642,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Colorado",132,140.1,136,4635,"Incidence",2883306,"All Races","Female","Female Breast","2022"
"Colorado",29.4,33.3,31.3,1039,"Incidence",2883306,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Colorado",98,116.5,106.9,551,"Incidence",642287,"Hispanic of any race","Female","Female Breast","2022"
"Colorado",20.3,29.5,24.6,122,"Incidence",642287,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
"Colorado",72,168.2,112.6,26,"Incidence",22003,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast","2022"
"Colorado",NA,NA,NA,NA,"Incidence",22003,"Non-Hispanic American Indian/Alaska Native","Female","Female Breast, <i>in situ</i>","2022"
"Colorado",85.8,122,102.7,133,"Incidence",126403,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast","2022"
"Colorado",29.4,52.2,39.6,51,"Incidence",126403,"Non-Hispanic Asian/Pacific Islander","Female","Female Breast, <i>in situ</i>","2022"
"Colorado",103.9,146.5,123.9,142,"Incidence",131016,"Non-Hispanic Black","Female","Female Breast","2022"
"Colorado",19.2,40.3,28.4,32,"Incidence",131016,"Non-Hispanic Black","Female","Female Breast, <i>in situ</i>","2022"
"Colorado",136.7,146.3,141.4,3738,"Incidence",1961597,"Non-Hispanic White","Female","Female Breast","2022"
"Colorado",30.1,34.8,32.4,818,"Incidence",1961597,"Non-Hispanic White","Female","Female Breast, <i>in situ</i>","2022"
"Connecticut",143,153.3,148.1,3596,"Incidence",1838855,"All Races","Female","Female Breast","2022"
"Connecticut",40.6,46.3,43.3,1000,"Incidence",1838855,"All Races","Female","Female Breast, <i>in situ</i>","2022"
"Connecticut",107,133.7,119.8,336,"Incidence",330763,"Hispanic of any race","Female","Female Breast","2022"
"Connecticut",33.8,49.6,41.1,114,"Incidence",330763,"Hispanic of any race","Female","Female Breast, <i>in situ</i>","2022"
